Date,Time,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m²),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
01/09/2014,00:00:00,16.8,67.8,0,0.19,0.74,264.4,0,0,1,13.1,13.1,13.1,3.5
01/09/2014,00:05:00,16.7,68.3,0,0.1,0.59,264.4,0,0,1,13,13.1,13.1,3.4
01/09/2014,00:10:00,16.6,68.8,0,0.05,0.29,264.4,0,0,1,13.1,13.1,13.1,3.3
01/09/2014,00:15:00,16.6,69.5,0,0.06,0.29,264.4,0,0,1,13.1,13.1,13.1,3.3
01/09/2014,00:20:00,16.6,70.1,0,0.11,0.59,264.4,0,0,1,13.1,13.1,13.1,3.2
01/09/2014,00:25:00,16.5,70.6,0,0.09,0.89,264.4,0,0,1,13.1,13.1,13.1,3.1
01/09/2014,00:30:00,16.4,71,0,0.02,0.14,264.4,0,0,1,13.1,13.1,13.1,3.1
01/09/2014,00:35:00,16.4,71.7,0,0.08,0.44,264.4,0,0,1,13.1,13.1,13.1,3
01/09/2014,00:40:00,16.4,72.2,0,0.29,1.49,252.3,16.5,0,1,13.1,13.1,13.1,2.9
01/09/2014,00:45:00,16.4,72.3,0,0.16,1.19,222.5,13.4,0,1,13.1,13.1,13.1,2.9
01/09/2014,00:50:00,16.3,72.6,0,0.15,0.74,201.7,0,0,1,13.1,13.1,13.1,2.9
01/09/2014,00:55:00,16.2,72.7,0,0.25,1.34,205,0,0,1,13.1,13.1,13.1,2.9
01/09/2014,01:00:00,16.2,73,0,0.33,1.19,253.6,43.9,0,1,13.1,13.1,13.1,2.8
01/09/2014,01:05:00,16.1,73.5,0,0.06,0.44,284,0,0,1,13,13.1,13.1,2.8
01/09/2014,01:10:00,16,74.3,0,0.32,1.34,265.1,14.5,0,1,13.1,13.1,13.1,2.7
01/09/2014,01:15:00,15.9,74.9,0,0.42,1.63,238.1,32.5,0,1,13.1,13.1,13.1,2.6
01/09/2014,01:20:00,15.8,75,0,0.27,1.63,258.5,0,0,1,13.1,13.1,13.1,2.6
01/09/2014,01:25:00,15.7,75.5,0,0.07,0.44,258.6,0,0,1,13.1,13.1,13.1,2.5
01/09/2014,01:30:00,15.7,75.9,0,0.45,1.63,230.3,34.7,0,1,13.1,13.1,13.1,2.5
01/09/2014,01:35:00,15.7,76.1,0,0.25,0.89,177.9,0,0,1,13.1,13.1,13.1,2.5
01/09/2014,01:40:00,15.6,76.8,0,0.19,1.04,179.4,0,0,1,13.1,13.1,13.1,2.4
01/09/2014,01:45:00,15.5,77.3,0,0.07,0.44,179.4,0,0,1,13.1,13.1,13.1,2.3
01/09/2014,01:50:00,15.3,78.1,0,0.24,1.19,185.2,27.5,0,1,13.1,13.1,13.1,2.2
01/09/2014,01:55:00,15.2,79,0,0.41,2.08,226.3,52.5,0,1,13.1,13.1,13.1,2.1
01/09/2014,02:00:00,15.2,79.2,0,0.35,1.79,208.6,26.5,0,1,13.1,13.1,13.1,2.1
01/09/2014,02:05:00,15.1,79.5,0,0.25,1.93,222,16.7,0,1,13,13.1,13.1,2.1
01/09/2014,02:10:00,15.1,79.6,0,0.23,1.34,190.9,16.2,0,1,13.1,13.1,13.1,2.1
01/09/2014,02:15:00,15.1,79.7,0,0.09,0.74,173.4,0,0,1,13.1,13.1,13.1,2
01/09/2014,02:20:00,15.1,79.8,0,0.06,0.44,173.4,0,0,1,13.1,13.1,13.1,2
01/09/2014,02:25:00,15,80.1,0,0.1,0.74,173.4,0,0,1,13.1,13.1,13.1,2
01/09/2014,02:30:00,14.9,80.7,0,0.03,0.29,173.4,0,0,1,13.1,13.1,13.1,1.9
01/09/2014,02:35:00,14.8,81.1,0,0.03,0.44,173.4,0,0,1,13.1,13.1,13.1,1.9
