Time,BS2 Soil Moisture(RAW) (mV),Battery(RAW) (V ),Temperature(RAW) (degC ),AS4 Soil Moisture(RAW) (mV ),AS2 Soil Moisture(RAW) (mV ),BS4 Soil Moisture(RAW) (mV ),CS2 Soil Moisture(RAW) (mV ),CS4 Soil Moisture(RAW) (mV ),Flow A(TOT) (l ),Flow Total A(RAW) (l ),Flow B(TOT) (l ),Flow Total B(RAW) (l ),Flow C(TOT) (l ),Flow Total C(RAW) (l ),CT2 upper(RAW) (mV ),CT2 Upper Temperature (Deg C ),BT2 upper(RAW) (mV ),BT2 Upper Temperature (Deg C )
30/09/2014 21:45,97.03,9.69,16.4,112.53,106.02,95.945,110.67,143.22,0,808,0,614,0,156,1053.845,18.50203091,1116.31,16.89529876
30/09/2014 21:40,97.34,9.69,16.4,112.22,106.175,95.79,110.36,142.91,0,808,0,614,0,156,1053.225,18.5184008,1114.295,16.94586924
30/09/2014 21:35,97.34,9.69,16.5,112.22,106.175,96.255,113.46,139.81,0,808,0,614,0,156,1052.605,18.53477934,1112.28,16.99651971
30/09/2014 21:30,97.185,9.69,16.7,112.375,106.175,96.1,112.995,139.965,0,808,0,614,0,156,1051.83,18.55526463,1110.265,17.04725052
30/09/2014 21:25,97.03,9.69,16.7,112.375,106.02,96.1,113.77,140.585,0,808,0,614,0,156,1051.21,18.5716627,1108.405,17.09415163
30/09/2014 21:20,97.185,9.69,16.8,112.375,106.02,95.945,111.91,142.755,0,808,0,614,0,156,1050.435,18.59217183,1106.235,17.14895859
30/09/2014 21:15,96.875,9.69,16.8,111.445,105.4,95.015,111.29,139.81,0,808,0,614,0,156,1049.66,18.61269595,1104.22,17.19993468
30/09/2014 21:10,96.565,9.67,16.9,111.445,105.555,95.635,107.88,141.825,0,808,0,614,0,156,1048.885,18.6332334,1102.205,17.25099358
30/09/2014 21:05,96.875,9.69,17.1,112.22,105.865,95.945,111.135,141.05,0,808,0,614,0,156,1048.265,18.64967297,1099.88,17.31001014
30/09/2014 21:00,97.185,9.69,17.2,112.375,106.175,96.1,113.925,140.275,0,808,0,614,0,156,1047.335,18.67434791,1097.71,17.36519319
30/09/2014 20:55,97.185,9.69,17.2,112.685,106.175,96.1,113.925,141.05,0,808,0,614,0,156,1046.715,18.69080946,1095.85,17.41256929
