Time,BT4 lower(AVG) (degC),Internal Battery(RAW) (mV ),External Supply(RAW) (mV ),AT4 lower(AVG) (degC ),CT4 lower(AVG) (degC ),AT2 upper(AVG) (degC )
1/10/2014 12:00:00 AM,17.45,3397,13236,17.32,19.54,15.34
30/09/2014 11:45:00 PM,17.55,3397,13243,17.45,19.54,15.44
30/09/2014 11:30:00 PM,17.63,3397,13250,17.58,19.55,15.54
30/09/2014 11:15:00 PM,17.73,3395,13229,17.72,19.55,15.67
30/09/2014 11:00:00 PM,17.84,3398,13243,17.86,19.56,15.8
30/09/2014 10:45:00 PM,17.94,3397,13256,18,19.58,15.93
30/09/2014 10:30:00 PM,18.05,3397,13256,18.14,19.58,16.06
30/09/2014 10:15:00 PM,18.16,3397,13263,18.28,19.58,16.2
30/09/2014 10:00:00 PM,18.26,3398,13263,18.43,19.58,16.35
30/09/2014 9:45:00 PM,18.36,3397,13263,18.57,19.58,16.51
30/09/2014 9:30:00 PM,18.47,3397,13270,18.72,19.57,16.68
30/09/2014 9:15:00 PM,18.57,3398,13276,18.86,19.55,16.86
30/09/2014 9:00:00 PM,18.68,3397,13276,19.01,19.55,17.04
30/09/2014 8:45:00 PM,18.8,3395,13256,19.15,19.54,17.22
30/09/2014 8:30:00 PM,18.91,3398,13276,19.29,19.53,17.4
30/09/2014 8:15:00 PM,19.03,3398,13283,19.43,19.52,17.57
30/09/2014 8:00:00 PM,19.14,3398,13290,19.56,19.52,17.75
30/09/2014 7:45:00 PM,19.26,3398,13297,19.71,19.5,17.95
30/09/2014 7:30:00 PM,19.36,3398,13290,19.84,19.49,18.16
30/09/2014 7:15:00 PM,19.47,3394,13276,19.97,19.48,18.37
30/09/2014 7:00:00 PM,19.57,3398,13297,20.09,19.45,18.59
30/09/2014 6:45:00 PM,19.67,3398,13303,20.2,19.43,18.81
30/09/2014 6:30:00 PM,19.76,3398,13303,20.3,19.41,19.04
30/09/2014 6:15:00 PM,19.83,3398,13323,20.39,19.39,19.27
30/09/2014 6:00:00 PM,19.9,3399,13404,20.46,19.37,19.5
30/09/2014 5:45:00 PM,19.97,3399,13639,20.53,19.34,19.71
30/09/2014 5:30:00 PM,20.03,3399,13894,20.59,19.32,19.88
30/09/2014 5:15:00 PM,20.09,3399,14076,20.65,19.29,20.01
30/09/2014 5:00:00 PM,20.16,3399,14143,20.7,19.27,20.11
30/09/2014 4:45:00 PM,20.21,3399,14129,20.74,19.25,20.21
30/09/2014 4:30:00 PM,20.26,3399,14129,20.78,19.21,20.36
30/09/2014 4:15:00 PM,20.3,3399,14109,20.8,19.19,20.53
30/09/2014 4:00:00 PM,20.33,3399,14055,20.81,19.16,20.66
30/09/2014 3:45:00 PM,20.36,3400,14076,20.8,19.13,20.78
30/09/2014 3:30:00 PM,20.37,3400,14116,20.77,19.1,20.9
30/09/2014 3:15:00 PM,20.36,3400,14042,20.72,19.08,21.03
30/09/2014 3:00:00 PM,20.31,3402,13995,20.64,19.06,21.22
30/09/2014 2:45:00 PM,20.24,3400,13935,20.51,19.03,21.41
30/09/2014 2:30:00 PM,20.11,3402,13901,20.31,19.02,21.67
30/09/2014 2:15:00 PM,19.93,3402,13908,20.05,18.99,21.99
30/09/2014 2:00:00 PM,19.69,3402,13901,19.74,18.98,22.35
30/09/2014 1:45:00 PM,19.39,3399,13901,19.37,18.96,22.68
30/09/2014 1:30:00 PM,19.08,3400,13901,19,18.96,22.88
30/09/2014 1:15:00 PM,18.78,3400,13935,18.65,18.95,22.62
30/09/2014 1:00:00 PM,18.5,3400,13975,18.32,18.93,21.93
30/09/2014 12:45:00 PM,18.24,3399,13975,18.05,18.93,21.16
30/09/2014 12:30:00 PM,18,3399,14029,17.79,18.93,20.4
30/09/2014 12:15:00 PM,17.77,3399,14096,17.54,18.93,20.03
30/09/2014 12:00:00 PM,17.57,3399,14109,17.31,18.93,19.73
30/09/2014 11:45:00 AM,17.37,3399,14109,17.11,18.95,19.18
30/09/2014 11:30:00 AM,17.2,3395,14089,16.93,18.95,18.88
30/09/2014 11:15:00 AM,17.07,3399,14089,16.78,18.95,18.41
30/09/2014 11:00:00 AM,16.95,3398,14183,16.65,18.96,17.85
30/09/2014 10:45:00 AM,16.84,3399,14243,16.52,18.96,17.49
30/09/2014 10:30:00 AM,16.74,3398,14304,16.41,18.96,17.34
30/09/2014 10:15:00 AM,16.65,3398,14297,16.31,18.98,17.13
30/09/2014 10:00:00 AM,16.56,3398,14304,16.22,18.99,16.85
30/09/2014 9:45:00 AM,16.47,3397,14290,16.15,18.99,16.63
30/09/2014 9:30:00 AM,16.39,3398,14364,16.08,19,16.44
30/09/2014 9:15:00 AM,16.33,3395,14264,16.03,19.02,16.26
30/09/2014 9:00:00 AM,16.28,3397,14230,16,19.03,16.03
30/09/2014 8:45:00 AM,16.26,3398,14317,15.97,19.04,15.82
30/09/2014 8:30:00 AM,16.24,3398,14351,15.97,19.05,15.69
30/09/2014 8:15:00 AM,16.25,3397,14364,15.97,19.06,15.6
30/09/2014 8:00:00 AM,16.26,3398,14163,15.98,19.08,15.41
30/09/2014 7:45:00 AM,16.27,3397,14149,16,19.09,15.23
30/09/2014 7:30:00 AM,16.29,3397,14270,16.02,19.1,15.2
30/09/2014 7:15:00 AM,16.31,3395,14042,16.03,19.11,15.21
30/09/2014 7:00:00 AM,16.33,3397,13525,16.06,19.12,15.23
30/09/2014 6:45:00 AM,16.36,3394,13203,16.08,19.15,15.2
30/09/2014 6:30:00 AM,16.38,3397,13122,16.11,19.16,15.19
30/09/2014 6:15:00 AM,16.4,3395,13109,16.14,19.17,15.19
30/09/2014 6:00:00 AM,16.43,3397,13109,16.16,19.19,15.2
30/09/2014 5:45:00 AM,16.45,3397,13115,16.18,19.19,15.26
30/09/2014 5:30:00 AM,16.47,3392,13122,16.21,19.21,15.31
30/09/2014 5:15:00 AM,16.49,3394,13135,16.23,19.22,15.34
30/09/2014 5:00:00 AM,16.51,3398,13156,16.26,19.23,15.37
30/09/2014 4:45:00 AM,16.54,3395,13156,16.27,19.25,15.38
30/09/2014 4:30:00 AM,16.56,3397,13169,16.29,19.26,15.43
30/09/2014 4:15:00 AM,16.57,3395,13176,16.31,19.28,15.48
30/09/2014 4:00:00 AM,16.6,3397,13176,16.33,19.29,15.5
30/09/2014 3:45:00 AM,16.62,3397,13176,16.36,19.3,15.51
30/09/2014 3:30:00 AM,16.64,3397,13196,16.38,19.32,15.52
30/09/2014 3:15:00 AM,16.66,3397,13189,16.39,19.32,15.52
30/09/2014 3:00:00 AM,16.69,3397,13209,16.42,19.34,15.54
30/09/2014 2:45:00 AM,16.72,3397,13216,16.45,19.35,15.55
30/09/2014 2:30:00 AM,16.74,3395,13223,16.47,19.38,15.55
30/09/2014 2:15:00 AM,16.78,3397,13223,16.5,19.39,15.55
30/09/2014 2:00:00 AM,16.81,3397,13216,16.53,19.39,15.57
30/09/2014 1:45:00 AM,16.84,3397,13229,16.57,19.42,15.57
30/09/2014 1:30:00 AM,16.88,3397,13236,16.61,19.42,15.58
30/09/2014 1:15:00 AM,16.92,3397,13236,16.65,19.44,15.58
30/09/2014 1:00:00 AM,16.97,3394,13229,16.71,19.45,15.58
30/09/2014 12:45:00 AM,17.03,3397,13250,16.76,19.45,15.57
30/09/2014 12:30:00 AM,17.09,3395,13243,16.83,19.48,15.55
30/09/2014 12:15:00 AM,17.16,3397,13256,16.91,19.49,15.54
30/09/2014 12:00:00 AM,17.23,3393,13236,17,19.49,15.52
29/09/2014 11:45:00 PM,17.32,3397,13263,17.1,19.49,15.5
29/09/2014 11:30:00 PM,17.42,3397,13263,17.21,19.51,15.47
29/09/2014 11:15:00 PM,17.51,3397,13270,17.33,19.49,15.45
29/09/2014 11:00:00 PM,17.6,3395,13263,17.45,19.49,15.48
29/09/2014 10:45:00 PM,17.68,3397,13263,17.56,19.49,15.59
29/09/2014 10:30:00 PM,17.77,3395,13256,17.68,19.49,15.74
29/09/2014 10:15:00 PM,17.86,3397,13270,17.79,19.49,15.89
29/09/2014 10:00:00 PM,17.95,3397,13270,17.91,19.49,16.06
29/09/2014 9:45:00 PM,18.04,3398,13290,18.02,19.49,16.23
29/09/2014 9:30:00 PM,18.13,3397,13290,18.13,19.49,16.37
29/09/2014 9:15:00 PM,18.23,3397,13283,18.25,19.48,16.46
29/09/2014 9:00:00 PM,18.32,3397,13276,18.38,19.47,16.54
29/09/2014 8:45:00 PM,18.42,3397,13297,18.51,19.45,16.62
29/09/2014 8:30:00 PM,18.52,3395,13283,18.64,19.44,16.71
29/09/2014 8:15:00 PM,18.62,3397,13290,18.76,19.43,16.87
29/09/2014 8:00:00 PM,18.72,3397,13297,18.89,19.42,17.05
29/09/2014 7:45:00 PM,18.81,3397,13303,19.01,19.4,17.23
29/09/2014 7:30:00 PM,18.89,3397,13303,19.12,19.39,17.42
29/09/2014 7:15:00 PM,18.98,3397,13303,19.22,19.37,17.61
29/09/2014 7:00:00 PM,19.06,3398,13310,19.32,19.34,17.8
29/09/2014 6:45:00 PM,19.12,3398,13317,19.41,19.32,18
29/09/2014 6:30:00 PM,19.18,3397,13303,19.49,19.31,18.22
29/09/2014 6:15:00 PM,19.22,3394,13323,19.54,19.29,18.44
29/09/2014 6:00:00 PM,19.26,3398,13384,19.59,19.26,18.66
29/09/2014 5:45:00 PM,19.27,3397,13565,19.62,19.25,18.88
29/09/2014 5:30:00 PM,19.28,3397,13814,19.62,19.22,19.12
29/09/2014 5:15:00 PM,19.28,3398,14008,19.62,19.2,19.28
29/09/2014 5:00:00 PM,19.26,3398,14156,19.62,19.18,19.38
29/09/2014 4:45:00 PM,19.25,3399,14170,19.59,19.16,19.47
29/09/2014 4:30:00 PM,19.21,3397,14136,19.55,19.14,19.55
29/09/2014 4:15:00 PM,19.16,3399,14136,19.5,19.12,19.64
29/09/2014 4:00:00 PM,19.09,3398,14116,19.43,19.11,19.73
29/09/2014 3:45:00 PM,19.01,3398,14129,19.33,19.09,19.83
29/09/2014 3:30:00 PM,18.91,3398,14136,19.22,19.08,19.94
29/09/2014 3:15:00 PM,18.79,3398,14143,19.08,19.06,20.06
29/09/2014 3:00:00 PM,18.65,3398,14170,18.92,19.06,20.15
29/09/2014 2:45:00 PM,18.5,3398,14217,18.75,19.05,20.13
29/09/2014 2:30:00 PM,18.35,3399,14290,18.58,19.04,20.07
29/09/2014 2:15:00 PM,18.2,3398,14277,18.41,19.03,19.97
29/09/2014 2:00:00 PM,18.05,3399,14317,18.23,19.03,19.82
29/09/2014 1:45:00 PM,17.9,3399,14324,18.06,19.03,19.67
29/09/2014 1:30:00 PM,17.76,3398,14311,17.9,19.03,19.44
29/09/2014 1:15:00 PM,17.63,3398,14297,17.74,19.03,19.24
29/09/2014 1:00:00 PM,17.52,3398,14385,17.61,19.03,19.04
29/09/2014 12:45:00 PM,17.44,3398,14378,17.5,19.04,18.72
29/09/2014 12:30:00 PM,17.38,3398,14378,17.41,19.05,18.25
29/09/2014 12:15:00 PM,17.3,3398,14364,17.31,19.05,17.87
29/09/2014 12:00:00 PM,17.23,3398,14364,17.2,19.06,17.81
29/09/2014 11:45:00 AM,17.14,3397,14257,17.08,19.06,17.84
29/09/2014 11:30:00 AM,17.05,3398,14230,16.95,19.06,17.84
29/09/2014 11:15:00 AM,16.94,3398,14196,16.82,19.08,17.8
29/09/2014 11:00:00 AM,16.84,3395,14270,16.69,19.09,17.7
29/09/2014 10:45:00 AM,16.74,3398,14277,16.56,19.09,17.57
29/09/2014 10:30:00 AM,16.65,3398,14290,16.43,19.11,17.46
29/09/2014 10:15:00 AM,16.56,3398,14149,16.31,19.12,17.29
29/09/2014 10:00:00 AM,16.48,3398,14250,16.2,19.15,17.06
29/09/2014 9:45:00 AM,16.41,3398,14230,16.11,19.16,16.8
29/09/2014 9:30:00 AM,16.36,3394,14243,16.04,19.18,16.55
29/09/2014 9:15:00 AM,16.31,3398,14096,15.98,19.2,16.29
29/09/2014 9:00:00 AM,16.28,3398,14029,15.93,19.22,16.07
29/09/2014 8:45:00 AM,16.26,3395,13935,15.91,19.25,15.87
29/09/2014 8:30:00 AM,16.24,3397,13888,15.9,19.26,15.67
29/09/2014 8:15:00 AM,16.26,3397,13861,15.9,19.29,15.45
29/09/2014 8:00:00 AM,16.28,3397,13928,15.92,19.31,15.25
29/09/2014 7:45:00 AM,16.32,3395,13874,15.96,19.33,15.09
29/09/2014 7:30:00 AM,16.37,3397,13901,16.01,19.35,14.93
29/09/2014 7:15:00 AM,16.42,3395,13814,16.08,19.39,14.84
29/09/2014 7:00:00 AM,16.49,3397,13498,16.15,19.4,14.79
29/09/2014 6:45:00 AM,16.56,3397,13223,16.22,19.42,14.77
29/09/2014 6:30:00 AM,16.62,3397,13142,16.3,19.45,14.79
29/09/2014 6:15:00 AM,16.7,3395,13115,16.39,19.47,14.83
29/09/2014 6:00:00 AM,16.78,3397,13109,16.48,19.49,14.87
29/09/2014 5:45:00 AM,16.86,3397,13102,16.58,19.52,14.89
29/09/2014 5:30:00 AM,16.95,3395,13115,16.68,19.53,14.94
29/09/2014 5:15:00 AM,17.05,3397,13122,16.79,19.55,15
29/09/2014 5:00:00 AM,17.15,3395,13122,16.9,19.58,15.05
29/09/2014 4:45:00 AM,17.24,3398,13109,17.03,19.6,15.11
29/09/2014 4:30:00 AM,17.34,3393,13129,17.16,19.62,15.17
29/09/2014 4:15:00 AM,17.45,3397,13135,17.29,19.63,15.25
29/09/2014 4:00:00 AM,17.55,3397,13169,17.43,19.63,15.35
29/09/2014 3:45:00 AM,17.64,3397,13169,17.56,19.65,15.47
29/09/2014 3:30:00 AM,17.74,3395,13169,17.7,19.65,15.62
29/09/2014 3:15:00 AM,17.85,3397,13169,17.84,19.68,15.77
29/09/2014 3:00:00 AM,17.95,3395,13176,17.98,19.69,15.91
29/09/2014 2:45:00 AM,18.06,3397,13189,18.12,19.7,16.04
29/09/2014 2:30:00 AM,18.17,3397,13196,18.27,19.72,16.18
29/09/2014 2:15:00 AM,18.28,3397,13196,18.42,19.72,16.33
29/09/2014 2:00:00 AM,18.39,3395,13189,18.56,19.73,16.48
29/09/2014 1:45:00 AM,18.51,3392,13189,18.71,19.75,16.65
29/09/2014 1:30:00 AM,18.62,3397,13209,18.85,19.76,16.83
29/09/2014 1:15:00 AM,18.73,3398,13216,18.99,19.76,17.01
29/09/2014 1:00:00 AM,18.84,3397,13216,19.14,19.76,17.18
29/09/2014 12:45:00 AM,18.95,3397,13216,19.28,19.76,17.34
29/09/2014 12:30:00 AM,19.06,3398,13223,19.42,19.77,17.5
29/09/2014 12:15:00 AM,19.17,3398,13236,19.57,19.77,17.65
29/09/2014 12:00:00 AM,19.29,3398,13229,19.72,19.78,17.79
28/09/2014 11:45:00 PM,19.4,3398,13236,19.86,19.77,17.93
28/09/2014 11:30:00 PM,19.52,3397,13236,20.01,19.77,18.08
28/09/2014 11:15:00 PM,19.65,3397,13243,20.18,19.76,18.22
28/09/2014 11:00:00 PM,19.78,3398,13250,20.35,19.76,18.36
28/09/2014 10:45:00 PM,19.91,3397,13250,20.52,19.76,18.52
28/09/2014 10:30:00 PM,20.04,3395,13256,20.7,19.75,18.69
28/09/2014 10:15:00 PM,20.17,3398,13263,20.87,19.73,18.87
28/09/2014 10:00:00 PM,20.3,3397,13263,21.05,19.72,19.07
28/09/2014 9:45:00 PM,20.44,3398,13263,21.23,19.71,19.28
28/09/2014 9:30:00 PM,20.58,3398,13270,21.41,19.69,19.49
28/09/2014 9:15:00 PM,20.71,3399,13270,21.58,19.67,19.7
28/09/2014 9:00:00 PM,20.84,3392,13263,21.76,19.65,19.91
28/09/2014 8:45:00 PM,20.97,3398,13283,21.95,19.62,20.12
28/09/2014 8:30:00 PM,21.11,3398,13283,22.12,19.61,20.33
28/09/2014 8:15:00 PM,21.25,3398,13270,22.3,19.58,20.56
28/09/2014 8:00:00 PM,21.39,3398,13283,22.47,19.54,20.76
28/09/2014 7:45:00 PM,21.53,3398,13283,22.64,19.52,20.98
28/09/2014 7:30:00 PM,21.67,3398,13290,22.8,19.49,21.22
28/09/2014 7:15:00 PM,21.81,3398,13276,22.96,19.44,21.47
28/09/2014 7:00:00 PM,21.93,3397,13283,23.1,19.4,21.73
28/09/2014 6:45:00 PM,22.06,3398,13303,23.23,19.36,21.99
28/09/2014 6:30:00 PM,22.16,3399,13303,23.34,19.32,22.27
28/09/2014 6:15:00 PM,22.27,3399,13310,23.44,19.29,22.55
28/09/2014 6:00:00 PM,22.35,3399,13317,23.52,19.25,22.83
28/09/2014 5:45:00 PM,22.43,3399,13330,23.57,19.2,23.09
28/09/2014 5:30:00 PM,22.49,3399,13491,23.61,19.17,23.32
28/09/2014 5:15:00 PM,22.55,3399,13659,23.65,19.12,23.51
28/09/2014 5:00:00 PM,22.59,3399,13726,23.65,19.08,23.69
28/09/2014 4:45:00 PM,22.61,3399,13780,23.62,19.04,23.88
28/09/2014 4:30:00 PM,22.62,3399,13834,23.59,19,24.07
28/09/2014 4:15:00 PM,22.61,3399,13948,23.54,18.96,24.22
28/09/2014 4:00:00 PM,22.61,3400,14055,23.46,18.92,24.34
28/09/2014 3:45:00 PM,22.59,3400,14022,23.37,18.87,24.43
28/09/2014 3:30:00 PM,22.56,3400,14042,23.26,18.84,24.47
28/09/2014 3:15:00 PM,22.51,3400,14049,23.13,18.8,24.5
28/09/2014 3:00:00 PM,22.44,3400,14055,22.98,18.76,24.55
28/09/2014 2:45:00 PM,22.36,3399,13982,22.79,18.73,24.59
28/09/2014 2:30:00 PM,22.23,3402,14008,22.58,18.7,24.67
28/09/2014 2:15:00 PM,22.07,3402,13948,22.31,18.67,24.77
28/09/2014 2:00:00 PM,21.87,3397,13982,22,18.64,24.86
28/09/2014 1:45:00 PM,21.63,3402,13921,21.63,18.64,24.94
28/09/2014 1:30:00 PM,21.34,3402,13941,21.24,18.62,24.94
28/09/2014 1:15:00 PM,21.03,3399,13941,20.83,18.6,24.86
28/09/2014 1:00:00 PM,20.69,3400,13928,20.41,18.59,24.58
28/09/2014 12:45:00 PM,20.33,3400,13948,19.98,18.57,24.2
28/09/2014 12:30:00 PM,19.96,3400,13935,19.55,18.57,23.79
28/09/2014 12:15:00 PM,19.58,3402,13941,19.13,18.56,23.41
28/09/2014 12:00:00 PM,19.21,3400,13948,18.73,18.56,22.89
28/09/2014 11:45:00 AM,18.86,3400,13941,18.35,18.55,22.25
28/09/2014 11:30:00 AM,18.52,3400,14002,17.99,18.55,21.6
28/09/2014 11:15:00 AM,18.2,3400,14002,17.67,18.55,20.99
28/09/2014 11:00:00 AM,17.93,3400,13995,17.4,18.56,20.33
28/09/2014 10:45:00 AM,17.67,3399,14002,17.18,18.56,19.66
28/09/2014 10:30:00 AM,17.45,3399,14029,17,18.58,19.03
28/09/2014 10:15:00 AM,17.27,3399,14096,16.85,18.59,18.45
28/09/2014 10:00:00 AM,17.14,3399,14102,16.74,18.6,17.95
28/09/2014 9:45:00 AM,17.04,3399,14210,16.67,18.6,17.5
28/09/2014 9:30:00 AM,16.96,3399,14270,16.62,18.61,17.1
28/09/2014 9:15:00 AM,16.91,3398,14297,16.59,18.63,16.77
28/09/2014 9:00:00 AM,16.88,3398,14297,16.58,18.63,16.54
28/09/2014 8:45:00 AM,16.87,3397,14297,16.59,18.65,16.32
28/09/2014 8:30:00 AM,16.88,3395,14371,16.61,18.67,16.13
28/09/2014 8:15:00 AM,16.91,3398,14371,16.66,18.67,15.95
28/09/2014 8:00:00 AM,16.95,3393,14378,16.72,18.68,15.8
28/09/2014 7:45:00 AM,17.01,3397,14378,16.78,18.69,15.69
28/09/2014 7:30:00 AM,17.07,3397,14156,16.86,18.7,15.65
28/09/2014 7:15:00 AM,17.13,3397,13847,16.95,18.7,15.64
28/09/2014 7:00:00 AM,17.2,3397,13632,17.04,18.71,15.65
28/09/2014 6:45:00 AM,17.26,3397,13404,17.13,18.72,15.68
28/09/2014 6:30:00 AM,17.34,3397,13250,17.22,18.73,15.75
28/09/2014 6:15:00 AM,17.41,3397,13142,17.32,18.73,15.85
28/09/2014 6:00:00 AM,17.47,3399,13035,17.41,18.72,15.96
28/09/2014 5:45:00 AM,17.53,3397,13115,17.49,18.72,16.07
28/09/2014 5:30:00 AM,17.58,3397,13135,17.58,18.73,16.2
28/09/2014 5:15:00 AM,17.64,3397,13142,17.66,18.73,16.35
28/09/2014 5:00:00 AM,17.69,3397,13156,17.72,18.73,16.49
28/09/2014 4:45:00 AM,17.74,3397,13162,17.79,18.73,16.63
28/09/2014 4:30:00 AM,17.78,3397,13176,17.85,18.73,16.76
28/09/2014 4:15:00 AM,17.83,3397,13182,17.9,18.73,16.9
28/09/2014 4:00:00 AM,17.86,3397,13182,17.94,18.73,17.05
28/09/2014 3:45:00 AM,17.89,3397,13182,17.99,18.73,17.15
28/09/2014 3:30:00 AM,17.93,3395,13196,18.04,18.74,17.2
28/09/2014 3:15:00 AM,17.96,3398,13209,18.09,18.75,17.24
28/09/2014 3:00:00 AM,18,3397,13203,18.14,18.74,17.29
28/09/2014 2:45:00 AM,18.04,3397,13216,18.19,18.75,17.34
28/09/2014 2:30:00 AM,18.07,3398,13216,18.25,18.75,17.38
28/09/2014 2:15:00 AM,18.11,3393,13216,18.31,18.75,17.42
28/09/2014 2:00:00 AM,18.15,3395,13209,18.37,18.75,17.44
28/09/2014 1:45:00 AM,18.2,3398,13229,18.44,18.75,17.46
28/09/2014 1:30:00 AM,18.25,3397,13223,18.52,18.74,17.49
28/09/2014 1:15:00 AM,18.3,3397,13243,18.6,18.73,17.52
28/09/2014 1:00:00 AM,18.36,3397,13236,18.69,18.73,17.55
28/09/2014 12:45:00 AM,18.42,3397,13243,18.79,18.73,17.58
28/09/2014 12:30:00 AM,18.49,3397,13236,18.89,18.73,17.62
28/09/2014 12:15:00 AM,18.57,3397,13243,19.01,18.73,17.64
28/09/2014 12:00:00 AM,18.63,3398,13256,19.13,18.72,17.67
27/09/2014 11:45:00 PM,18.71,3397,13263,19.26,18.7,17.72
27/09/2014 11:30:00 PM,18.79,3397,13263,19.38,18.7,17.8
27/09/2014 11:15:00 PM,18.86,3398,13270,19.5,18.69,17.93
27/09/2014 11:00:00 PM,18.95,3397,13270,19.62,18.67,18.1
27/09/2014 10:45:00 PM,19.03,3395,13270,19.73,18.66,18.29
27/09/2014 10:30:00 PM,19.1,3397,13270,19.84,18.64,18.45
27/09/2014 10:15:00 PM,19.17,3397,13276,19.94,18.62,18.63
27/09/2014 10:00:00 PM,19.23,3397,13283,20.03,18.6,18.83
27/09/2014 9:45:00 PM,19.29,3398,13283,20.12,18.59,19.05
27/09/2014 9:30:00 PM,19.33,3398,13297,20.19,18.57,19.24
27/09/2014 9:15:00 PM,19.39,3397,13297,20.27,18.56,19.4
27/09/2014 9:00:00 PM,19.43,3397,13297,20.35,18.53,19.51
27/09/2014 8:45:00 PM,19.49,3398,13297,20.42,18.51,19.61
27/09/2014 8:30:00 PM,19.53,3398,13297,20.49,18.48,19.69
27/09/2014 8:15:00 PM,19.59,3398,13297,20.57,18.46,19.78
27/09/2014 8:00:00 PM,19.64,3397,13303,20.65,18.43,19.87
27/09/2014 7:45:00 PM,19.7,3397,13303,20.72,18.4,19.96
27/09/2014 7:30:00 PM,19.75,3398,13317,20.79,18.37,20.06
27/09/2014 7:15:00 PM,19.8,3398,13310,20.85,18.34,20.17
27/09/2014 7:00:00 PM,19.85,3398,13317,20.91,18.31,20.29
