Date Time,Ave AirTemp (degC),Ave Humidity (%)
2014-09-01 00:00:00,17.1,90.7
2014-09-01 00:05:00,17.1,90.6
2014-09-01 00:10:00,17.2,90.6
2014-09-01 00:15:00,17.3,90.7
2014-09-01 00:20:00,17.3,90.6
2014-09-01 00:25:00,17.3,90.4
2014-09-01 00:30:00,17.3,90.5
2014-09-01 00:35:00,17.3,90.4
2014-09-01 00:40:00,17.4,90.4
2014-09-01 00:45:00,17.4,90.5
2014-09-01 00:50:00,17.4,90.7
2014-09-01 00:55:00,17.5,90.9
2014-09-01 01:00:00,17.5,90.9
2014-09-01 01:05:00,17.4,90.8
2014-09-01 01:10:00,17.4,90.9
2014-09-01 01:15:00,17.5,91
2014-09-01 01:20:00,17.5,90.7
2014-09-01 01:25:00,17.5,90.5
2014-09-01 01:30:00,17.5,90
2014-09-01 01:35:00,17.6,89.6
2014-09-01 01:40:00,17.8,89
2014-09-01 01:45:00,17.9,88.1
2014-09-01 01:50:00,17.9,87.5
2014-09-01 01:55:00,18.2,86.8
2014-09-01 02:00:00,18.2,85.8
2014-09-01 02:05:00,18.1,85.5
2014-09-01 02:10:00,18.2,85.4
2014-09-01 02:15:00,18.1,85.6
2014-09-01 02:20:00,18.1,85.3
2014-09-01 02:25:00,18.3,85.8
2014-09-01 02:30:00,18.3,86.6
2014-09-01 02:35:00,18.1,87.7
2014-09-01 02:40:00,18.1,88.4
2014-09-01 02:45:00,18.2,88.7
2014-09-01 02:50:00,18.2,88.8
2014-09-01 02:55:00,18.4,88.8
2014-09-01 03:00:00,18.4,88.8
2014-09-01 03:05:00,18.2,88.7
2014-09-01 03:10:00,18.3,88.8
2014-09-01 03:15:00,18.4,88.6
2014-09-01 03:20:00,18.3,88.3
2014-09-01 03:25:00,18.4,87.9
2014-09-01 03:30:00,18.4,87.2
2014-09-01 03:35:00,18.5,87.1
2014-09-01 03:40:00,18.5,86.9
2014-09-01 03:45:00,18.4,87.3
2014-09-01 03:50:00,18.4,87.7
2014-09-01 03:55:00,18.4,88.2
2014-09-01 04:00:00,18.4,88.5
2014-09-01 04:05:00,18.4,88.7
2014-09-01 04:10:00,18.4,88.7
2014-09-01 04:15:00,18.5,88.5
2014-09-01 04:20:00,18.6,88.1
2014-09-01 04:25:00,18.6,87.5
2014-09-01 04:30:00,18.6,87.1
2014-09-01 04:35:00,18.7,86.7
2014-09-01 04:40:00,18.7,86.4
2014-09-01 04:45:00,18.7,86
2014-09-01 04:50:00,18.7,85.8
2014-09-01 04:55:00,18.8,85.5
2014-09-01 05:00:00,18.8,85.4
2014-09-01 05:05:00,18.9,85.2
2014-09-01 05:10:00,18.9,85.1
2014-09-01 05:15:00,18.9,84.8
2014-09-01 05:20:00,19,84.7
2014-09-01 05:25:00,19,84.7
2014-09-01 05:30:00,19,84.4
2014-09-01 05:35:00,19.1,84.1
2014-09-01 05:40:00,19.2,83.6
2014-09-01 05:45:00,19.2,83.1
2014-09-01 05:50:00,19.3,83.3
2014-09-01 05:55:00,19.3,83.1
2014-09-01 06:00:00,19.2,83.2
2014-09-01 06:05:00,19.2,83.4
2014-09-01 06:10:00,19.2,83.2
2014-09-01 06:15:00,19.2,83.1
2014-09-01 06:20:00,19.3,83
2014-09-01 06:25:00,19.3,83
2014-09-01 06:30:00,19.3,83.1
2014-09-01 06:35:00,19.2,83.1
2014-09-01 06:40:00,19.2,83.3
2014-09-01 06:45:00,19.2,83.4
2014-09-01 06:50:00,19.2,83.4
2014-09-01 06:55:00,19.1,84
2014-09-01 07:00:00,19,84.9
2014-09-01 07:05:00,18.9,85.7
2014-09-01 07:10:00,18.9,86.4
2014-09-01 07:15:00,18.9,87
2014-09-01 07:20:00,18.6,87.3
2014-09-01 07:25:00,18.4,87.5
2014-09-01 07:30:00,18.4,87.7
2014-09-01 07:35:00,18.4,88.2
2014-09-01 07:40:00,18.3,88.8
2014-09-01 07:45:00,18.1,90.1
2014-09-01 07:50:00,18.1,91
2014-09-01 07:55:00,17.9,91.6
2014-09-01 08:00:00,17.8,91.9
