UTC+8 20161111_04:02:06	1478851326431	 : csv.php/handleCSV()	 : Cannot open the file.
UTC+8 20161111_04:02:06	1478851326480	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161111_04:02:06	1478851326481	 : upload.php/ 	 : File 14788513262. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161111_04:02:06	1478851326495	 : upload.php/ 	 : File 14788513262. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161111_04:06:22	1478851582483	 : csv.php/handleCSV()	 : Cannot open the file.
UTC+8 20161111_04:06:22	1478851582484	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161111_04:06:22	1478851582484	 : upload.php/ 	 : File 14788515821. WeatherData_20140901-20140930_Example for database.CSV.xlsx Upload to ./Uploads/1611/
UTC+8 20161111_04:06:22	1478851582484	 : upload.php/ 	 : File 14788515821. WeatherData_20140901-20140930_Example for database.CSV.xlsx is checked to be a document with xlsx extention and be record in history.
UTC+8 20161111_04:32:31	1478853151362	 : csv.php/handleCSV()	 : Cannot open the file.
UTC+8 20161111_04:32:31	1478853151362	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161111_04:32:31	1478853151362	 : upload.php/ 	 : File 14788531511. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161111_04:32:31	1478853151362	 : upload.php/ 	 : File 14788531511. WeatherData_20140901-20140930_Example for database.CSV is checked to be a data table with CSV extention and be record in history. Prepare for update to database.
UTC+8 20161111_04:34:17	1478853257301	 : csv.php/handleCSV()	 : Cannot open the file.
UTC+8 20161111_04:34:17	1478853257302	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161111_04:34:17	1478853257302	 : upload.php/ 	 : File 14788532571. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
