UTC+8 20161025_05:39:23	1477388363830	 : upload.php/ 	 : File 14773883632. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1610/
UTC+8 20161111_04:02:06	1478851326481	 : upload.php/ 	 : File 14788513262. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161111_04:06:22	1478851582484	 : upload.php/ 	 : File 14788515821. WeatherData_20140901-20140930_Example for database.CSV.xlsx Upload to ./Uploads/1611/
UTC+8 20161111_04:32:31	1478853151362	 : upload.php/ 	 : File 14788531511. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161111_04:34:17	1478853257302	 : upload.php/ 	 : File 14788532571. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161111_04:59:39	1478854779350	 : upload.php/ 	 : File 14788547792. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161111_04:59:55	1478854795128	 : upload.php/ 	 : File 14788547952. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_04:58:13	1479373093331	 : upload.php/ 	 : File 14793730932. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:04:48	1479373488706	 : upload.php/ 	 : File 14793734882. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:07:26	1479373646123	 : upload.php/ 	 : File 14793736462. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:10:37	1479373837394	 : upload.php/ 	 : File 14793738372. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:12:01	1479373921646	 : upload.php/ 	 : File 14793739212. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:12:27	1479373947161	 : upload.php/ 	 : File 14793739472. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:12:43	1479373963620	 : upload.php/ 	 : File 14793739631. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161129_06:07:41	1480414061075	 : upload.php/ 	 : File 14804140611. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1611/
UTC+8 20161129_06:07:56	1480414076352	 : upload.php/ 	 : File 14804140762. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
