,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140901060500,13.5,86.5,0,0.11,0.74,175.5,0,0,1,12.8,13,13,1.3
20140901061000,13.4,86.5,0,0.09,0.59,175.5,0,0,1,13,13,13,1.3
20140901061500,13.5,86.5,0,0.27,1.19,184.5,17.9,0,2,13,13,13,1.3
20140901062000,13.5,86.3,0,0.11,0.59,186.3,0,0,4,13,13,13,1.3
20140901062500,13.4,86.5,0,0.16,0.59,186.3,0,0,6,13,13,13,1.3
20140901063000,13.5,86.5,0,0.2,1.34,186.3,0,0,7,13,13,13,1.3
20140901063500,13.4,86.4,0,0.4,1.49,173.9,6.3,0,11,13,13,13,1.3
20140901064000,13.4,86.5,0,0.35,1.79,176.4,3.6,0,15,13,13,13,1.3
20140901064500,13.3,86.9,0,0.28,1.19,177.2,2.2,0,17,13,13,13,1.2
20140901065000,13.4,86.9,0,0.31,1.93,157.8,10.8,0,20,13,13,13,1.2
20140901065500,13.3,86.9,0,0.36,1.63,171.5,25.9,0,25,13,13,13,1.2
20140901070000,13.4,86.7,0,0.38,1.49,185.1,3.6,0,59,13,13,13.1,1.3
20140901070500,13.7,86,0,0.18,1.19,182.5,0,0,74,12.9,13,13.1,1.3
20140901071000,14,84.8,0,0.36,1.34,177.3,10.4,0,75,13,13.1,13.1,1.5
20140901071500,14,84.2,0,0.27,1.04,153.2,1.5,0,77,13.1,13.1,13.1,1.5
20140901072000,14.3,83.7,0,0.21,0.74,153.4,1.5,0,89,13.1,13.1,13.1,1.6
20140901072500,14.2,82.8,0,0.37,1.34,153.5,0,0,29,13.1,13.1,13.1,1.7
20140901073000,14.1,83.4,0,0.13,0.59,153.2,1.5,0,42,13.1,13.1,13.1,1.6
20140901073500,14.2,83.8,0,0.52,1.93,235.6,41.2,0,106,13.1,13.1,13.2,1.6
20140901074000,14.4,83.4,0,0.42,1.63,192.6,40.7,0,171,13.2,13.3,13.3,1.6
20140901074500,14.5,82.9,0,0.43,1.63,279.6,36.5,0,159,13.3,13.4,13.6,1.7
20140901075000,14.7,82.5,0,0.52,1.34,191.4,50.4,0,191,13.6,13.6,13.7,1.7
20140901075500,14.7,82.2,0,0.5,1.49,129.3,44.5,0,182,13.7,13.7,13.8,1.8
20140901080000,14.9,82,0,0.27,1.04,175.1,26,0,199,13.8,13.8,13.8,1.8
20140901080500,15.2,80.8,0,0.51,1.79,90.6,5,0,230,13.7,13.8,13.9,1.9
20140901081000,15.6,79.8,0,0.43,1.79,89.1,3.5,0,300,13.9,14,14,2.1
20140901081500,15.7,78.9,0,0.42,1.93,88.5,41.6,0,166,13.8,13.8,14,2.2
20140901082000,15.7,79.5,0,0.34,1.34,191.1,5.6,0,162,13.8,13.8,13.8,2.1
20140901082500,15.7,79.7,0,0.37,1.34,180.9,0,0,159,13.8,13.8,13.8,2.1
20140901083000,15.8,80,0,0.36,1.63,180.8,0,0,160,13.8,13.8,13.9,2.1
20140901083500,15.8,80,0,0.54,1.63,124.3,57.7,0,175,13.8,13.9,13.9,2.1
20140901084000,16,79.9,0,0.3,1.34,40.1,70.2,0,180,13.9,13.9,13.9,2.1
20140901084500,16,79.6,0,0.26,1.04,266.6,44.8,0,169,13.8,13.9,13.9,2.1
20140901085000,16.1,79.6,0,0.55,2.24,214.6,42,0,156,13.8,13.8,13.9,2.1
20140901085500,16.2,79.5,0,0.52,1.49,199.4,14.4,0,150,13.8,13.8,13.8,2.1
20140901090000,16.1,79.9,0,0.53,1.34,245.6,10.9,0,179,13.8,13.9,13.9,2.1
20140901090500,16,80.3,0,0.45,1.93,243.5,24.6,0,158,13.7,13.8,13.9,2
20140901091000,16.1,80.4,0,0.4,1.34,214.4,27.3,0,149,13.8,13.8,13.8,2
20140901091500,16.1,80.2,0,0.28,1.19,74.1,53.9,0,132,13.8,13.8,13.8,2.1
20140901092000,16.2,80,0,0.37,1.34,248,70.7,0,132,13.8,13.8,13.8,2.1
20140901092500,16.3,79.8,0,0.26,1.04,222.5,0,0,131,13.8,13.8,13.8,2.1
20140901093000,16.4,79.5,0,0.4,1.63,187.4,19.9,0,118,13.7,13.8,13.8,2.1
