,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m²),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC),72
20140901000000,17.1,90.7,0,0.41,1.79,219.6,26.4,0,188,13.9,13.9,14,1,72
20140901000500,17.1,90.6,0,0.74,2.38,209.8,46.8,0,224,13.7,13.9,14,1,72
20140901001000,17.2,90.6,0,0.79,2.98,186.2,29.4,0,247,13.9,13.9,14,1,72
20140901001500,17.3,90.7,0,0.53,2.38,172,27.7,0,221,13.9,13.9,14,1,72
20140901002000,17.3,90.6,0,0.49,1.63,195.7,25.3,0,193,14,14,14,1,72
20140901002500,17.3,90.4,0,0.75,2.53,183.9,28,0.2,201,13.9,13.9,14,1,72
20140901003000,17.3,90.5,0,0.64,2.83,239,64.6,0,145,13.9,13.9,14,1,72
20140901003500,17.3,90.4,0,0.54,2.08,184.7,28.6,0,184,14,14,14,1,72
20140901004000,17.4,90.4,0,0.47,1.93,195.5,61.6,0,143,13.9,13.9,14,1,72
20140901004500,17.4,90.5,0,0.47,1.63,198.8,17.7,0,176,13.9,13.9,14,1,72
20140901005000,17.4,90.7,0,0.46,1.93,179.2,51.1,0,164,13.9,13.9,14,1,72
20140901005500,17.5,90.9,0,0.39,1.34,177.7,49.6,0,207,13.9,13.9,14,1,72
20140901010000,17.5,90.9,0,0.75,2.98,215.5,45,0,189,13.9,13.9,14,1,72
20140901010500,17.4,90.8,0,0.79,2.68,156.2,67.2,0,169,13.7,13.9,14,1,72
20140901011000,17.4,90.9,0,0.69,2.53,199.9,35.7,0,208,13.9,13.9,14,1,72
20140901011500,17.5,91,0,0.36,1.79,210.5,0,0,169,13.9,13.9,14,1,72
20140901012000,17.5,90.7,0,0.84,3.13,198.1,40.7,0,186,13.9,13.9,14,1,72
